"Maximum Capacity","Suburb","Postcode","Latitude","Longitude","Region","Gaming"
"Unspecified","CLAYTON","3168","-37.95505000","145.11325700","Metro South","Not allowed"
"Between 50 and 99","FRANKSTON","3199","-38.14459800","145.12085800","Metro South","Not allowed"
"Unspecified","BERWICK","3806","-38.03099500","145.34681400","Metro South","Not allowed"
"Unspecified","FRANKSTON","3199","-38.13172700","145.12524900","Metro South","Not allowed"
"Unspecified","CLAYTON","3168","-37.92348184","145.11977490","Metro East","Not allowed"
"Unspecified","FRANKSTON","3199","-38.09486600","145.12874400","Metro South","Not allowed"
"Unspecified","CAULFIELD","3162","-37.86935822","145.02514058","Metro South","Not allowed"
"Between 100 and 199","FRANKSTON","3199","-38.14582100","145.12299400","Metro South","Not allowed"
"Unspecified","BERWICK","3806","-38.02262814","145.30158230","Metro South","Not allowed"
"More than 499","FRANKSTON","3199","-38.14720900","145.11902300","Metro South","Not allowed"
"Unspecified","FRANKSTON","3199","-38.13723325","145.15649170","Metro South","Allowed"
"More than 499","CAULFIELD","3162","-37.87752500","145.03948100","Metro South","Allowed"
"Between 100 and 199","FRANKSTON","3199","-38.14215223","145.12174243","Metro South","Not allowed"
"Unspecified","FRANKSTON","3199","-38.14496300","145.12059700","Metro South","Not allowed"
"Unspecified","FRANKSTON","3199","-38.14127500","145.12154800","Metro South","Not allowed"
"Between 20 and 49","CLAYTON","3168","-37.92385570","145.12026860","Metro East","Not allowed"
"Unspecified","CLAYTON","3168","-37.92205285","145.14005361","Metro East","Not allowed"
"Between 100 and 199","FRANKSTON","3199","-38.13425900","145.12467100","Metro South","Not allowed"
"More than 499","CLAYTON","3168","-37.91319407","145.13569410","Metro East","Not allowed"
"Between 100 and 199","BERWICK","3806","-38.03166741","145.34655970","Metro South","Not allowed"
"More than 499","FRANKSTON","3199","-38.14646930","145.12297080","Metro South","Not allowed"
"Unspecified","FRANKSTON","3199","-38.13287900","145.12796900","Metro South","Not allowed"
"Between 200 and 499","FRANKSTON","3199","-38.15164868","145.15444500","Metro South","Not allowed"
"More than 499","FRANKSTON","3199","-38.13683500","145.13945820","Metro South","Not allowed"
"Between 50 and 99","CLAYTON","3168","-37.92287700","145.11985100","Metro East","Not allowed"
"Between 100 and 199","FRANKSTON","3199","-38.14460400","145.12010400","Metro South","Not allowed"
"Unspecified","PARKVILLE","3052","-37.78496400","144.95890600","Metro North","Not allowed"
"Unspecified","FRANKSTON","3199","-38.15160300","145.15227800","Metro South","Not allowed"
"Between 100 and 199","FRANKSTON","3199","-38.14292300","145.12171200","Metro South","Not allowed"
